seller_id,pedidos,media_dias_atraso,percentual_atraso
2e1c9f22be269ef4643f826c9e650a52,167,0.51,6.21
8d956fec2e4337affcb520f56fd8cbfd,211,0.33,6.19
001cca7ae9ae17fb1caed9dfb1094831,200,0.62,6.15
955fee9216a65b617aa5c0531780ce60,1287,0.51,6.11
1554a68530182680ad5c8b042c3ab563,247,1.09,6.10
8cbac7e12637ed9cffa18c7875207478,67,0.33,6.06
834f3294fba9f932f56edc879193f925,66,0.42,6.06
e9779976487b77c6d4ac45f75ec7afe9,657,0.80,6.05
8e6cc767478edae941d9bd9eb778d77a,106,0.65,6.00
09f952a5f58d2285b0372551ae8f9b01,50,1.20,6.00
4b9750c8ad28220fe6702d4ecb7c898f,218,0.86,5.99
5f2684dab12e59f83bef73ae57724e45,68,0.81,5.97
5b179e9e8cc7ab6fd113a46ca584da81,34,0.19,5.88
5656537e588803a555b8eb41f07a944b,174,0.55,5.85
2a7dc43cecabf23403078e2188437d1d,52,0.35,5.77
3c7c4a49ec3c6550809089c6a2ca9370,141,0.80,5.76
46dc3b2cc0980fb8ec44634e21d2718e,521,0.54,5.75
dd2bdf855a9172734fbc3744021ae9b9,108,0.56,5.71
dc8798cbf453b7e0f98745e396cc5616,41,0.42,5.71
45ba18c210d42734ec52c0c1c574e9ee,38,0.08,5.71
bf84056e679dbe9c69929847a40e338f,36,1.34,5.71
3ab971ce71839580d2ae5b4e40fe8044,36,0.14,5.71
59fb871bf6f4522a87ba567b42dafecf,126,0.27,5.69
0adac9fbd9a2b63cccaac4f8756c1ca8,110,0.57,5.66
d9a84e1403de8da0c3aa531d6d108ba6,54,0.53,5.66
17a053fcb14bd219540cbde0df490be0,125,0.59,5.65
f457c46070d02cadd8a68551231220dd,199,0.60,5.64
5dceca129747e92ff8ef7a997dc4f8ca,325,0.45,5.59
f4aba7c0bca51484c30ab7bdc34bcdd1,110,0.38,5.56
d9bd94811c3338dceb4181f3dbc0c73e,54,0.98,5.56
63b464dbf392c7b80d12d932fa7cafed,37,0.79,5.56
99002261c568a84cce14d43fcffb43ea,36,0.39,5.56
f4c4daa86e30c7e5a553a8d518ac03a5,20,0.39,5.56
18a349e75d307f4b4cc646a691ed4216,121,0.55,5.50
6d66611d7c44cc30ce351abc49a68421,166,0.40,5.49
01fdefa7697d26ad920e9e0346d4bd1b,129,0.29,5.47
3d871de0142ce09b7081e2b9d1733cb1,1080,0.53,5.45
dc317f341ab0e22f39acbd9dbf9b4a1f,55,1.03,5.45
d6b1ce66b035a475f00c017792ff9769,92,0.44,5.43
08633c14ef2db992c11f840f04fad4cd,74,0.39,5.41
c70c1b0d8ca86052f45a432a38b73958,261,0.36,5.38
45d33f715e24d15a6ccf5c17b3a23e3c,59,0.60,5.36
4992e76a42cb3aad7a7047e0d3d7e729,57,0.22,5.36
6560211a19b47992c3666cc44a7e94c0,1854,0.39,5.28
cc419e0650a3c5ba77189a1882b7556a,1706,0.40,5.27
fa40cc5b934574b62717c68f3d678b6d,307,0.65,5.26
bfd27a966d91cfaafdb25d076585f0da,117,0.40,5.26
1f9ab4708f3056ede07124aad39a2554,78,0.68,5.26
d650b663c3b5f6fb392b6326366efa9a,60,0.49,5.26
75fbb52eda0cbc24f479d3b2fbfa8d3e,40,0.32,5.26
ba90964cff9b9e0e6f32b23b82465f7b,38,0.24,5.26
04e38a233f726ef161074ab1c9b0399a,23,0.83,5.26
430315b7bb4b6e4b3c978f9dfa9b0558,20,0.40,5.26
d2374cbcbb3ca4ab1086534108cc3ab7,524,0.36,5.25
7a67c85e85bb2ce8582c35f2203ad736,1160,0.66,5.24
670c26e0f1bf8d0576271d5cfaec6d2b,78,1.53,5.19
f80edd2c5aaa505cc4b0a3b219abf4b8,119,0.34,5.17
c003204e1ab016dfa150abc119207b24,197,0.61,5.13
113e3a788b935f48aad63e1c41dac1bd,39,0.33,5.13
b94cc9f10ddc85e4ba73a6f7974e7101,39,0.31,5.13
01cf7e3d21494c41fb86034f2e714fa1,61,0.57,5.08
f7720c4fa8e3aba4546301ab80ea1f1b,60,0.62,5.08
ceaec5548eefc6e23e6607c5435102e7,203,0.54,5.05
0c8380b62e38e8a1e6adbeba7eb9688c,182,1.08,5.00
a2e874074c877c5a05abae80ad6e488f,44,0.33,5.00
20d83f3ef0e6925fd74bfd59170babf7,40,0.15,5.00
b56906f7fd1696e043f1bcce164c487b,40,0.76,5.00
83deb69e889cf80f82be1dc6d5f2d486,40,0.17,5.00
6288c69c4ce638e59925e59193f98b16,22,0.40,5.00
